concurso,data,n1,n2,n3,n4,n5
5473,04/03/2020,64222,31766,38882,76391,69938
5472,29/02/2020,210,17560,92531,16025,26078
5471,27/02/2020,22842,52690,94041,66955,55938
5470,22/02/2020,87914,5667,53577,25834,96516
5469,19/02/2020,39408,35420,16089,91014,62738
5468,15/02/2020,25344,35676,51097,66473,75978
5467,12/02/2020,14465,71415,92302,7699,53807
5466,08/02/2020,46191,82160,15925,18533,21703
5465,05/02/2020,74444,6177,48923,68389,80566
5464,01/02/2020,47258,7196,89369,1136,79861
5463,29/01/2020,7443,62189,32609,11992,41574
5462,25/01/2020,13580,38219,88440,74888,47449

5461,22/01/2020,19449,95689,25816,47066,43911
5460,18/01/2020,69557,47634,91696,24744,28829
5459,15/01/2020,63703,48605,23779,5031,5441
5458,11/01/2020,73440,69992,19085,42112,70448
5457,08/01/2020,21529,90677,80070,56782,40339
5456,04/01/2020,16230,26300,75054,82130,22813
5455,02/01/2020,57364,45209,19070,31638,48306
5454,31/12/2019,18881,99846,13836,11752,22349
5453,28/12/2019,20146,74485,18875,47467,37369
5452,24/12/2019,46629,11727,58182,46317,30754
5451,21/12/2019,11332,7088,36977,75827,13964
5450,18/12/2019,50609,91591,44312,44744,61503
5449,14/12/2019,95879,56894,34414,90391,37969
5448,11/12/2019,20267,37249,19122,85211,31947
5447,07/12/2019,45791,58477,36048,26017,76887
5446,04/12/2019,48754,13916,24005,37963,93484
5445,30/11/2019,48012,35397,16226,16571,56410
5444,27/11/2019,2815,60482,44061,5947,16196
5443,23/11/2019,59737,57468,15779,78470,75714
5442,20/11/2019,37779,80993,24713,34130,7925
5441,16/11/2019,82771,24291,51500,57448,55432
5440,13/11/2019,60072,8531,59503,44485,22712
5439,09/11/2019,59761,42421,48711,14600,20566
5438,06/11/2019,26998,67284,49127,39619,22337
5437,01/11/2019,28654,24441,30536,68940,79629
5436,30/10/2019,26269,72352,79745,88797,30115
5435,26/10/2019,18857,97203,24703,50550,74380
5434,23/10/2019,10768,85121,3935,22213,88059
5433,19/10/2019,85593,38154,85433,22006,37687
5432,16/10/2019,50768,28905,10388,38651,27049
5431,11/10/2019,61605,1707,26184,27580,87974
5430,09/10/2019,17870,85828,76750,17638,4177
5429,05/10/2019,96257,20310,84448,72250,62097
5428,02/10/2019,33077,70508,23151,46457,48470
5427,28/09/2019,56784,81713,22604,40045,88233
5426,25/09/2019,35154,65345,90910,80365,35605
5425,21/09/2019,19439,13476,49732,64309,75058
5424,18/09/2019,12463,80035,83029,5844,75591
5423,14/09/2019,10049,86819,36182,6154,39613
